id,name,lat,lon,bikes,empty_docks,docks,query_time,proportion
BikePoints_685,"Osiers Road, Wandsworth",51.46067,-0.198735,25,5,30,2022-01-30 07:39:00,0.8333333333333334
BikePoints_728,"Putney Bridge Road, East Putney",51.461999,-0.20624,5,24,29,2022-01-30 07:39:00,0.1724137931034483
BikePoints_41,"Pindar Street, Liverpool Street",51.520955,-0.083493,15,8,24,2022-01-30 07:39:00,0.6666666666666666
BikePoints_54,"Golden Lane, Barbican",51.521747,-0.094475,12,15,27,2022-01-30 07:39:00,0.4444444444444444
BikePoints_196,"Union Street, The Borough",51.503688,-0.098497,14,2,17,2022-01-30 07:39:00,0.8823529411764706
BikePoints_674,"Carnegie Street, King's Cross",51.535467,-0.116191,30,9,40,2022-01-30 07:39:00,0.775
BikePoints_632,"Sheepcote Lane, Battersea",51.470538,-0.163041,11,16,28,2022-01-30 07:39:00,0.42857142857142855
BikePoints_161,"Guildhouse Street, Victoria",51.492345,-0.141334,13,2,16,2022-01-30 07:39:00,0.875
BikePoints_280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,7,2,10,2022-01-30 07:39:00,0.8
BikePoints_796,"Coram Street, Bloomsbury",51.524,-0.126409,13,16,29,2022-01-30 07:39:00,0.4482758620689655
BikePoints_62,"Cotton Garden Estate, Kennington",51.490757,-0.106323,15,9,24,2022-01-30 07:39:00,0.625
BikePoints_459,"Gunmakers Lane, Old Ford",51.535179,-0.03338,10,7,17,2022-01-30 07:39:00,0.5882352941176471
BikePoints_334,"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10,0,10,2022-01-30 07:39:00,1.0
BikePoints_24,"British Museum, Bloomsbury",51.51908,-0.124678,3,32,35,2022-01-30 07:39:00,0.08571428571428572
BikePoints_794,"Victoria Rise, Clapham Common",51.461376,-0.147804,20,2,23,2022-01-30 07:39:00,0.9130434782608695
BikePoints_257,"Westminster University, Marylebone",51.522481,-0.154907,14,2,16,2022-01-30 07:39:00,0.875
BikePoints_236,"Fashion Street, Whitechapel",51.51838,-0.073438,21,9,30,2022-01-30 07:39:00,0.7
BikePoints_33,"Central House, Aldgate",51.515231,-0.07015,2,14,18,2022-01-30 07:39:00,0.2222222222222222
BikePoints_113,"Gloucester Road (Central), South Kensington",51.496462,-0.183289,3,15,19,2022-01-30 07:39:00,0.21052631578947367
BikePoints_142,"West Cromwell Road, Earl's Court",51.493724,-0.198286,20,4,24,2022-01-30 07:39:00,0.8333333333333334
BikePoints_656,"Broomhouse Lane, Parsons Green",51.468418,-0.199135,17,11,29,2022-01-30 07:39:00,0.6206896551724138
BikePoints_718,"Ada Street, Hackney Central",51.535716,-0.060291,43,2,45,2022-01-30 07:39:00,0.9555555555555556
BikePoints_513,"Watney Market, Stepney",51.514222,-0.055656,18,33,51,2022-01-30 07:39:00,0.35294117647058826
BikePoints_263,"St. Mary Axe, Aldgate",51.514225,-0.08066,1,20,21,2022-01-30 07:39:00,0.047619047619047616
BikePoints_216,"Old Brompton Road, South Kensington",51.490945,-0.18119,22,8,30,2022-01-30 07:39:00,0.7333333333333333
BikePoints_463,"Thurtle Road, Haggerston",51.534776,-0.071881,10,12,22,2022-01-30 07:39:00,0.45454545454545453
BikePoints_186,"South Wharf Road, Paddington",51.517335,-0.17581,11,5,16,2022-01-30 07:39:00,0.6875
BikePoints_481,"Saunders Ness Road, Cubitt Town",51.487129,-0.009001,33,0,35,2022-01-30 07:39:00,1.0
BikePoints_817,"Riverlight South, Nine Elms",51.481335,-0.138212,9,15,26,2022-01-30 07:39:00,0.4230769230769231
BikePoints_404,"Palace Gate, Kensington Gardens",51.502042,-0.1844,1,9,13,2022-01-30 07:39:00,0.3076923076923077
BikePoints_639,"Coomer Place, West Kensington",51.48357,-0.202038,14,11,27,2022-01-30 07:39:00,0.5925925925925926
BikePoints_301,"Marylebone Lane, Marylebone",51.514759,-0.148105,1,22,24,2022-01-30 07:39:00,0.08333333333333333
BikePoints_19,"Taviton Street, Bloomsbury",51.52505,-0.131161,17,12,30,2022-01-30 07:39:00,0.6
BikePoints_583,"Abingdon Green, Westminster",51.49764,-0.125972,13,7,20,2022-01-30 07:39:00,0.65
BikePoints_169,"Porchester Place, Paddington",51.514746,-0.165164,4,14,18,2022-01-30 07:39:00,0.2222222222222222
BikePoints_149,"Kennington Road Post Office, Oval",51.484788,-0.110683,8,10,18,2022-01-30 07:39:00,0.4444444444444444
BikePoints_797,"Ossulston Street, Somers Town",51.5293,-0.128279,0,29,30,2022-01-30 07:39:00,0.03333333333333333
BikePoints_699,"Belford House, Haggerston",51.536654,-0.07023,4,35,39,2022-01-30 07:39:00,0.10256410256410256
BikePoints_345,"Flood Street, Chelsea",51.488023,-0.166878,16,16,33,2022-01-30 07:39:00,0.5151515151515151
BikePoints_51,"Finsbury Library , Finsbury",51.526717,-0.104298,26,2,29,2022-01-30 07:39:00,0.9310344827586207
BikePoints_454,"Napier Avenue, Millwall",51.487679,-0.021582,7,11,20,2022-01-30 07:39:00,0.45
BikePoints_231,"Queen's Gate (Central), South Kensington",51.493967,-0.178732,27,4,31,2022-01-30 07:39:00,0.8709677419354839
BikePoints_615,"Finlay Street, Fulham",51.476885,-0.215895,7,17,24,2022-01-30 07:39:00,0.2916666666666667
BikePoints_504,"St. John's Park, Cubitt Town",51.496454,-0.009506,1,29,30,2022-01-30 07:39:00,0.03333333333333333
BikePoints_108,"Abbey Orchard Street, Westminster",51.498125,-0.132102,20,9,29,2022-01-30 07:39:00,0.6896551724137931
BikePoints_520,"Bancroft Road, Bethnal Green",51.526041,-0.047218,12,9,21,2022-01-30 07:39:00,0.5714285714285714
BikePoints_802,"Albert Square, Stockwell",51.47659,-0.118256,9,22,32,2022-01-30 07:39:00,0.3125
BikePoints_139,"Lambeth Road, Vauxhall",51.494881,-0.117974,15,3,18,2022-01-30 07:39:00,0.8333333333333334
BikePoints_563,"Preston's Road, Cubitt Town",51.499286,-0.009152,6,20,26,2022-01-30 07:39:00,0.23076923076923078
BikePoints_730,"Bridge Avenue, Hammersmith",51.492084,-0.229116,18,0,18,2022-01-30 07:39:00,1.0
BikePoints_515,"Russell Gardens, Olympia",51.500088,-0.211316,3,21,24,2022-01-30 07:39:00,0.125
BikePoints_73,"Old Street Station, St. Luke's",51.52548,-0.089659,24,4,29,2022-01-30 07:39:00,0.8620689655172413
BikePoints_162,"Southampton Place, Holborn",51.517606,-0.121328,14,5,20,2022-01-30 07:39:00,0.75
BikePoints_738,"Imperial Road, Sands End",51.475142,-0.187278,23,14,37,2022-01-30 07:39:00,0.6216216216216216
BikePoints_603,"Caldwell Street, Stockwell",51.477839,-0.116493,27,17,44,2022-01-30 07:39:00,0.6136363636363636
BikePoints_616,"Aintree Street, Fulham",51.481021,-0.209973,9,15,24,2022-01-30 07:39:00,0.375
BikePoints_606,"Addison Road, Holland Park",51.504199,-0.210941,18,8,26,2022-01-30 07:39:00,0.6923076923076923
BikePoints_684,"Neville Gill Close, Wandsworth",51.454752,-0.195197,31,1,32,2022-01-30 07:39:00,0.96875
BikePoints_153,"Bayswater Road, Hyde Park",51.511933,-0.174411,21,5,27,2022-01-30 07:39:00,0.8148148148148148
BikePoints_502,"Bonner Gate, Victoria Park",51.53341,-0.049591,17,2,21,2022-01-30 07:39:00,0.9047619047619048
BikePoints_37,"Penywern Road, Earl's Court",51.491593,-0.192369,9,8,17,2022-01-30 07:39:00,0.5294117647058824
BikePoints_545,"Arlington Road, Camden Town",51.539957,-0.145246,19,3,24,2022-01-30 07:39:00,0.875
BikePoints_707,"Barons Court Station, West Kensington",51.490217,-0.215087,9,23,32,2022-01-30 07:39:00,0.28125
BikePoints_328,"New North Road 2, Hoxton",51.53114,-0.086016,8,13,22,2022-01-30 07:39:00,0.4090909090909091
BikePoints_240,"Colombo Street, Southwark",51.505459,-0.105692,8,6,14,2022-01-30 07:39:00,0.5714285714285714
BikePoints_494,"South Quay East, Canary Wharf",51.50196,-0.016251,12,24,36,2022-01-30 07:39:00,0.3333333333333333
BikePoints_277,"Kensington Church Street, Kensington",51.503157,-0.191496,12,5,17,2022-01-30 07:39:00,0.7058823529411765
BikePoints_617,"Elysium Place, Fulham",51.471079,-0.207842,3,18,21,2022-01-30 07:39:00,0.14285714285714285
BikePoints_386,"Moor Street, Soho",51.513527,-0.13011,1,14,16,2022-01-30 07:39:00,0.125
BikePoints_510,"Westferry DLR, Limehouse",51.509303,-0.025996,39,1,41,2022-01-30 07:39:00,0.975609756097561
BikePoints_814,"Clapham Road, Lingham Street, Stockwell",51.471433,-0.12367,6,24,30,2022-01-30 07:39:00,0.2
BikePoints_827,"Cranmer Road, Stockwell",51.479601,-0.111471,22,1,24,2022-01-30 07:39:00,0.9583333333333334
BikePoints_265,"Southwick Street, Paddington",51.515953,-0.169249,9,8,17,2022-01-30 07:39:00,0.5294117647058824
BikePoints_246,"Berry Street, Clerkenwell",51.522853,-0.099994,21,20,41,2022-01-30 07:39:00,0.5121951219512195
BikePoints_548,"Westminster Bridge Road, Elephant & Castle",51.498386,-0.107913,17,9,26,2022-01-30 07:39:00,0.6538461538461539
BikePoints_665,"Smugglers Way, Wandsworth",51.461083,-0.191722,8,14,22,2022-01-30 07:39:00,0.36363636363636365
BikePoints_771,"Rifle Place, Avondale",51.509224,-0.216016,18,3,21,2022-01-30 07:39:00,0.8571428571428571
BikePoints_44,"Bruton Street, Mayfair",51.510736,-0.144165,20,0,21,2022-01-30 07:39:00,1.0
BikePoints_324,"Ontario Street, Elephant & Castle",51.49652,-0.101384,10,5,15,2022-01-30 07:39:00,0.6666666666666666
BikePoints_588,"Hoxton Street, Hoxton",51.52959,-0.0801,15,11,27,2022-01-30 07:39:00,0.5925925925925926
BikePoints_378,"Natural History Museum, South Kensington",51.495592,-0.179077,12,27,42,2022-01-30 07:39:00,0.35714285714285715
BikePoints_286,"St. John's Wood Road, St. John's Wood",51.527294,-0.174653,11,24,35,2022-01-30 07:39:00,0.3142857142857143
BikePoints_601,"BBC White City, White City",51.514767,-0.225787,12,24,36,2022-01-30 07:39:00,0.3333333333333333
BikePoints_76,"Longford Street, The Regent's Park",51.525595,-0.144083,16,5,21,2022-01-30 07:39:00,0.7619047619047619
BikePoints_445,"Cheshire Street, Bethnal Green",51.52388,-0.065076,19,9,28,2022-01-30 07:39:00,0.6785714285714286
BikePoints_336,"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18,0,18,2022-01-30 07:39:00,1.0
BikePoints_604,"St Martins Close, Camden Town",51.538792,-0.138535,1,17,18,2022-01-30 07:39:00,0.05555555555555555
BikePoints_391,"Clifford Street, Mayfair",51.510662,-0.142345,1,16,17,2022-01-30 07:39:00,0.058823529411764705
BikePoints_275,"Barbican Centre, Barbican",51.520044,-0.092176,5,13,19,2022-01-30 07:39:00,0.3157894736842105
BikePoints_776,"Abyssinia Close, Clapham Junction",51.460333,-0.167029,20,0,20,2022-01-30 07:39:00,1.0
BikePoints_339,"Risinghill Street, Angel",51.533319,-0.111781,1,8,25,2022-01-30 07:39:00,0.68
BikePoints_646,"Buckingham Gate, Westminster",51.498865,-0.137424,9,5,16,2022-01-30 07:39:00,0.6875
BikePoints_650,"St. Mark's Road, North Kensington",51.51687,-0.213872,4,17,21,2022-01-30 07:39:00,0.19047619047619047
